ID,Person,Survey_Type,Score,Comment,Permalink,Created_At,Updated_At
124748006,610912953,nps,10,It was very easy to create a simple valid will along with medical power of attorney,https://app.delighted.com/r/KT0vsyVXYUTFp7oaggGlrU4Azfp9ZnmY,05/07/2020 17:54:15,05/07/2020 17:54:52
124748071,610912471,nps,10,,https://app.delighted.com/r/3NfgVWxxEk15oy4kUyFdhH8Rp4Q88aEd,05/07/2020 17:54:54,05/07/2020 17:54:54
124748362,610912514,nps,10,It was really easy to use,https://app.delighted.com/r/CvUIEkJLa3RcA3iEpAf8gBR7zvpbAsbf,05/07/2020 17:57:11,05/07/2020 17:57:26
124748437,610912708,nps,10,,https://app.delighted.com/r/03CjGEJ6TJ2UPBmpron42b8O9Ep53d8Y,05/07/2020 17:57:50,05/07/2020 17:57:50
124748721,610912453,nps,10,Easy and exactly what I wanted!,https://app.delighted.com/r/tIDy2iQ2dVyrTA8dkMiQxNErgPEb6S4G,05/07/2020 17:59:59,05/07/2020 18:00:27
124749035,610912766,nps,10,,https://app.delighted.com/r/iTbO2boXiV04kfk0885SFP875509oXi6,05/07/2020 18:02:53,05/07/2020 18:02:53
124749206,610913096,nps,10,Easy ,https://app.delighted.com/r/4FUBBkeW6r16VyYLhOqGBbbtTlsazqfX,05/07/2020 18:04:27,05/07/2020 18:04:33
124749398,610913112,nps,10,So easy and clear,https://app.delighted.com/r/I5xaLYfcSvUGI4xjHdMLXWG8I3kfWAkA,05/07/2020 18:06:07,05/07/2020 18:06:12
124749577,610912835,nps,8,"These are great as very basic documents, but it would be nice to be able to customize it a little more. ",https://app.delighted.com/r/tBScPYK4MeIinnYwUBl3xM1rYnNR8uKD,05/07/2020 18:07:24,05/07/2020 18:08:09
124749602,610912226,nps,10,,https://app.delighted.com/r/QguV36c1ohsJjsge868a7hd8bASAr9X6,05/07/2020 18:07:33,05/07/2020 18:07:33
124749613,610912825,nps,9,Easy to navigate. Template for witness differed so confusing for them once printed ,https://app.delighted.com/r/TPYgVCcL3UywWVhLmwqvufRwlSlVl1T3,05/07/2020 18:07:37,05/07/2020 18:08:09
124749623,610912732,nps,10,,https://app.delighted.com/r/1le5V327iiJsDdRWa50Pq7kCnrxxBMfc,05/07/2020 18:07:42,05/07/2020 18:07:42
124749689,610913095,nps,10,"Easy to use, simple yet effective.  Just what I needed.",https://app.delighted.com/r/N4LYKeVm2z5Pq3U7Rjp2Jvnh5h67wLdm,05/07/2020 18:08:17,05/07/2020 18:08:50
124749762,610913222,nps,9,,https://app.delighted.com/r/L7KD1Oe8ebToPG8dsnJ2xOre0cPZNE6C,05/07/2020 18:08:58,05/07/2020 18:08:58
124749831,610912356,nps,10,Very easy to use!,https://app.delighted.com/r/pKbCpRSZ9DfTBJEysmr4kdGKMI9WZ8KJ,05/07/2020 18:09:33,05/07/2020 18:09:49
124750228,610912095,nps,10,"Easy to use. It covers all my present testamentary needs, especially with the ""Add a gift"" feature. Thank you so much for enable us to use this great tool during these trying times.",https://app.delighted.com/r/i5tYUuRbrYTCyzUZogSZa49KYdt6Z3FP,05/07/2020 18:12:41,05/07/2020 18:24:36
124750414,610912857,nps,10,,https://app.delighted.com/r/6Is6aIrmhWdq9h31QU0eeAMuBc0uJG54,05/07/2020 18:14:17,05/07/2020 18:14:17
124750420,610912055,nps,8,,https://app.delighted.com/r/uHp1gQXjCuqdqnCNLUU2Lcr9GbyETNBB,05/07/2020 18:14:21,05/07/2020 18:14:21
124750462,610913216,nps,10,,https://app.delighted.com/r/NbxuEta7ovQozsyk6hZhqIWnvMn0FZYW,05/07/2020 18:14:39,05/07/2020 18:14:39
124750539,610912204,nps,10,,https://app.delighted.com/r/QhN8LpNTj9mtASJ0rpQTA7RqOxzgaFbN,05/07/2020 18:15:06,05/07/2020 18:15:06
124750874,610912934,nps,10,The process was easy to follow and to complete.,https://app.delighted.com/r/X0e0hWTPnLa17lYDTM7udbBgh6GF59Em,05/07/2020 18:17:46,05/07/2020 18:18:48
124751017,610912878,nps,10,This is awesome! In these crazy uncertain times people don't have time to think about stuff like this. When I read my e-mail at work and saw this service offer I knew I had to do it and it's free which is even nicer! Thank you!! ,https://app.delighted.com/r/OtUYPm18cWYzYBns0GbxZQCInV8JAQmh,05/07/2020 18:18:52,05/07/2020 18:29:37
124751139,610913064,nps,10,Very easy. Took less than 5 min. ,https://app.delighted.com/r/7rrW3euedMCU4SFONrPosY9zuTHBp1qK,05/07/2020 18:19:43,05/07/2020 18:20:57
124751285,610913047,nps,10,"Easy to the point, informative ",https://app.delighted.com/r/3I9LoYql6FVZwG9QrOHivs0GozLpC8OQ,05/07/2020 18:21:03,05/07/2020 18:21:21
124751376,610912626,nps,7,you need 2 witnesses and a notary.  not going to happen in this time of shut down.  ,https://app.delighted.com/r/WY16ANtcqW13CCjCM1o5R2lwKRt0ZTLF,05/07/2020 18:21:43,05/07/2020 18:22:19
124751885,610912516,nps,10,It was easy,https://app.delighted.com/r/7ws5iVlOMA5DnKY9787KsNWtuIqGJw8y,05/07/2020 18:25:54,05/07/2020 18:26:47
124752059,610912984,nps,10,ease of use,https://app.delighted.com/r/LsMz5UXm52Ha5EHwrFh6OBMgTUmrzEq1,05/07/2020 18:27:22,05/07/2020 18:28:06
124753218,610912406,nps,10,I’ve been saying for years that I need to take care of this. I need to make these decisions now and quit procrastinating. Having the option to do my estate planning online really took a load off my shoulders ,https://app.delighted.com/r/P3Ufc9eZYHsrPtD9SQ0YrPz3KLJHq8e3,05/07/2020 18:37:48,05/07/2020 18:39:09
124753693,610912115,nps,10,,https://app.delighted.com/r/5CGixRathg4N6DDkpL6Qy9EcKTKuJF86,05/07/2020 18:42:16,05/07/2020 18:42:16
